User ID|Gender|Age|EstimatedSalary|Purchased|AgeGroup
15625040|Male|41|67105.0|1|40-50
15625042|Female|51|52527.0|0|>50
15625049|Female|48|89942.0|0|40-50
15625054|Female|57|59437.0|1|>50
15625056|Female|42|55639.0|1|40-50
15625058|Male|150|62012.0|0|
15625060|Male|44|54318.0|1|40-50
15625062|Female|49|65149.0|1|40-50
15625067|Female|45|102696.0|1|40-50
15625068|Female|59|101435.0|0|>50
15625074|Female|58|101454.0|0|>50
15625076|Male|43|21387.0|0|40-50
15625077|Female|51|73385.0|0|>50
15625079|Female|43|99754.0|0|40-50
15625080|Female|44|89901.0|0|40-50
15625082|Male|43|87238.0|0|40-50
15625084|Female|47|93896.0|1|40-50
15625086|Female|43|68502.0|0|40-50
15625087|Female|53|85022.0|1|>50
15625090|Male|52|55119.0|1|>50
15625094|Female|43|63980.0|0|40-50
15625095|Male|45|76174.0|0|40-50
15625098|Male|41|61506.0|1|40-50
15625100|Male|43|87600.0|0|40-50
15625106|Male|55|89046.0|1|>50
15625107|Male|52|75850.0|0|>50
15625109|Female|42|75087.0|0|40-50
15625110|Female|54|92202.0|0|>50
15625111|Female|45|66572.0|0|40-50
15625113|Male|56|97454.0|0|>50
15625115|Female|56|84453.0|1|>50
15625117|Male|43|58603.0|0|40-50
15625118|Male|42|66398.0|0|40-50
15625122|Female|42|31504.0|1|40-50
15625126|Male|58|26280.0|1|>50
15625128|Female|53|68924.0|0|>50
15625130|Male|51|92635.0|0|>50
15625132|Female|57|86089.0|0|>50
15625134|Female|59|97141.0|1|>50
15625135|Male|58|31654.0|0|>50
15625136|Male|54|51098.0|0|>50
15625139|Male|51|81668.0|0|>50
15625141|Male|54|46349.0|0|>50
15625142|Male|50|93371.0|1|40-50
15625144|Female|150|71553.0|0|
15625148|Male|47|94761.0|0|40-50
15625150|Male|47|90569.0|0|40-50
15625151|Male|48|82616.0|1|40-50
15625152|Female|41|119422.0|1|40-50
15625155|Male|48|96541.0|1|40-50
15625156|Female|57|70590.0|0|>50
15625157|Male|54|53053.0|0|>50
15625158|Female|53|57146.0|0|>50
15625160|Male|48|45241.0|1|40-50
15625164|Female|45|65033.0|0|40-50
15625169|Male|47|108182.0|0|40-50
15625170|Female|55|77577.0|0|>50
15625175|Male|43|44220.0|0|40-50
15625178|Male|43|73743.0|0|40-50
15625182|Male|50|59027.0|0|40-50
15625184|Male|150|85919.0|1|
15625186|Male|43|53382.0|1|40-50
15625188|Female|55|93422.0|0|>50
15625189|Female|54|51614.0|0|>50
15625191|Female|53|119510.0|0|>50
15625194|Male|50|103572.0|1|40-50
15625202|Female|57|90927.0|0|>50
15625206|Female|54|60134.0|1|>50
